GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Native:,Margin of Error; Native:,Estimate; Native: - Born in state of residence,Margin of Error; Native: - Born in state of residence,Estimate; Native: - Born in other state in the United States:,Margin of Error; Native: - Born in other state in the United States:,Estimate; Native: - Born in other state in the United States: - Northeast,Margin of Error; Native: - Born in other state in the United States: - Northeast,Estimate; Native: - Born in other state in the United States: - Midwest,Margin of Error; Native: - Born in other state in the United States: - Midwest,Estimate; Native: - Born in other state in the United States: - South,Margin of Error; Native: - Born in other state in the United States: - South,Estimate; Native: - Born in other state in the United States: - West,Margin of Error; Native: - Born in other state in the United States: - West,Estimate; Native: - Born outside the United States:,Margin of Error; Native: - Born outside the United States:,Estimate; Native: - Born outside the United States: - Puerto Rico,Margin of Error; Native: - Born outside the United States: - Puerto Rico,Estimate; Native: - Born outside the United States: - U.S. Island Areas,Margin of Error; Native: - Born outside the United States: - U.S. Island Areas,Estimate; Native: - Born outside the United States: - Born abroad of American parent(s),Margin of Error; Native: - Born outside the United States: - Born abroad of American parent(s),Estimate; Foreign born:,Margin of Error; Foreign born:,Estimate; Foreign born: - Naturalized U.S. citizen,Margin of Error; Foreign born: - Naturalized U.S. citizen,Estimate; Foreign born: - Naturalized U.S. citizen - Europe,Margin of Error; Foreign born: - Naturalized U.S. citizen - Europe,Estimate; Foreign born: - Naturalized U.S. citizen - Asia,Margin of Error; Foreign born: - Naturalized U.S. citizen - Asia,Estimate; Foreign born: - Naturalized U.S. citizen - Africa,Margin of Error; Foreign born: - Naturalized U.S. citizen - Africa,Estimate; Foreign born: - Naturalized U.S. citizen - Oceania,Margin of Error; Foreign born: - Naturalized U.S. citizen - Oceania,Estimate; Foreign born: - Naturalized U.S. citizen - Latin America,Margin of Error; Foreign born: - Naturalized U.S. citizen - Latin America,Estimate; Foreign born: - Naturalized U.S. citizen - Northern America,Margin of Error; Foreign born: - Naturalized U.S. citizen - Northern America,Estimate; Foreign born: - Not a U.S. citizen,Margin of Error; Foreign born: - Not a U.S. citizen,Estimate; Foreign born: - Not a U.S. citizen - Europe,Margin of Error; Foreign born: - Not a U.S. citizen - Europe,Estimate; Foreign born: - Not a U.S. citizen - Asia,Margin of Error; Foreign born: - Not a U.S. citizen - Asia,Estimate; Foreign born: - Not a U.S. citizen - Africa,Margin of Error; Foreign born: - Not a U.S. citizen - Africa,Estimate; Foreign born: - Not a U.S. citizen - Oceania,Margin of Error; Foreign born: - Not a U.S. citizen - Oceania,Estimate; Foreign born: - Not a U.S. citizen - Latin America,Margin of Error; Foreign born: - Not a U.S. citizen - Latin America,Estimate; Foreign born: - Not a U.S. citizen - Northern America,Margin of Error; Foreign born: - Not a U.S. citizen - Northern America
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",704457,3112,685456,4655,481200,10162,199341,8914,20017,3057,37597,4219,123481,6117,18246,3673,4915,1371,1534,876,385,351,2996,1098,19001,3257,10369,2222,1505,543,4933,1568,632,704,66,111,2963,1240,270,257,8632,2286,1350,863,3909,1421,443,496,0,195,2730,1668,200,176
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",681621,6239,664085,6804,475240,9191,180075,6623,23499,3151,31846,3141,108267,4744,16463,2335,8770,1668,1512,659,10,16,7248,1657,17536,2028,6621,1366,1224,420,2701,935,323,236,0,195,2292,848,81,125,10915,1661,944,433,3945,1220,275,224,0,195,5721,1137,30,50
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",709482,4694,689782,5079,460581,7971,223167,6822,16274,2340,32437,3761,155334,6302,19122,2996,6034,1340,176,346,55,93,5803,1378,19700,2113,6841,1469,1208,443,3772,1041,0,195,59,102,1496,929,306,364,12859,1782,1396,832,5851,1376,493,413,0,195,4795,1220,324,419
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",683273,5034,659916,5168,507968,8321,147848,7635,10865,2247,35278,3955,86859,5993,14846,2542,4100,1257,243,329,28,47,3829,1212,23357,2482,6998,1871,219,195,2431,807,332,376,0,195,3957,1474,59,99,16359,2175,430,345,1735,680,699,819,0,195,13413,2275,82,108
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",712529,877,681561,3521,434828,8889,236056,8571,19401,2046,60526,6399,128705,6701,27424,4017,10677,2470,2332,1431,166,160,8179,2199,30968,3230,11720,1529,2355,778,5474,1140,305,258,0,195,3141,1037,445,358,19248,2874,1247,715,3253,1393,1094,791,0,195,12495,2130,1159,920
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",706308,5741,672702,6399,493273,9566,172794,7625,20334,2944,36442,3956,99756,6029,16262,2439,6635,1657,682,678,195,237,5758,1500,33606,3490,11872,1805,2079,802,5207,1234,1013,667,160,269,3103,967,310,300,21734,3239,1546,746,4627,1107,948,703,159,185,14056,3113,398,277
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",665630,7888,646169,8663,527627,9465,114608,6288,15221,2622,26009,3110,64443,4015,8935,1850,3934,1343,244,229,174,155,3516,1336,19461,2866,5190,1447,714,450,2132,1026,251,233,69,112,1991,839,33,59,14271,2452,451,275,4114,1198,1040,733,116,149,8484,1973,66,91
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",741894,*****,684530,4460,301971,6699,362971,7072,40904,3672,88056,4361,78526,5841,155485,6499,19588,2463,2030,1702,4779,1113,12779,1809,57364,4460,32772,3526,5517,1124,18136,2393,749,395,500,271,6550,1882,1320,722,24592,3640,2194,964,15020,3069,764,550,843,559,4825,1549,946,491
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",766924,10818,723597,11194,412379,10274,303928,9278,36044,3118,93400,4763,46433,3983,128051,7039,7290,2226,263,221,193,203,6834,2225,43327,3813,19877,2426,3816,948,4210,1186,975,649,49,85,9942,2188,772,425,23450,3330,2130,783,2248,805,316,318,328,239,16798,3053,1630,711
