GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Born in state of residence:,Margin of Error; Total: - Born in state of residence:,Estimate; Total: - Born in state of residence: - Less than high school graduate,Margin of Error; Total: - Born in state of residence: - Less than high school graduate,Estimate; Total: - Born in state of residence: - High school graduate (includes equivalency),Margin of Error; Total: - Born in state of residence: - High school graduate (includes equivalency),Estimate; Total: - Born in state of residence: - Some college or associate's degree,Margin of Error; Total: - Born in state of residence: - Some college or associate's degree,Estimate; Total: - Born in state of residence: - Bachelor's degree,Margin of Error; Total: - Born in state of residence: - Bachelor's degree,Estimate; Total: - Born in state of residence: - Graduate or professional degree,Margin of Error; Total: - Born in state of residence: - Graduate or professional degree,Estimate; Total: - Born in other state in the United States:,Margin of Error; Total: - Born in other state in the United States:,Estimate; Total: - Born in other state in the United States: - Less than high school graduate,Margin of Error; Total: - Born in other state in the United States: - Less than high school graduate,Estimate; Total: - Born in other state in the United States: - High school graduate (includes equivalency),Margin of Error; Total: - Born in other state in the United States: - High school graduate (includes equivalency),Estimate; Total: - Born in other state in the United States: - Some college or associate's degree,Margin of Error; Total: - Born in other state in the United States: - Some college or associate's degree,Estimate; Total: - Born in other state in the United States: - Bachelor's degree,Margin of Error; Total: - Born in other state in the United States: - Bachelor's degree,Estimate; Total: - Born in other state in the United States: - Graduate or professional degree,Margin of Error; Total: - Born in other state in the United States: - Graduate or professional degree,Estimate; Total: - Native; born outside the United States:,Margin of Error; Total: - Native; born outside the United States:,Estimate; Total: - Native; born outside the United States: - Less than high school graduate,Margin of Error; Total: - Native; born outside the United States: - Less than high school graduate,Estimate; Total: - Native; born outside the United States: - High school graduate (includes equivalency),Margin of Error; Total: - Native; born outside the United States: - High school graduate (includes equivalency),Estimate; Total: - Native; born outside the United States: - Some college or associate's degree,Margin of Error; Total: - Native; born outside the United States: - Some college or associate's degree,Estimate; Total: - Native; born outside the United States: - Bachelor's degree,Margin of Error; Total: - Native; born outside the United States: - Bachelor's degree,Estimate; Total: - Native; born outside the United States: - Graduate or professional degree,Margin of Error; Total: - Native; born outside the United States: - Graduate or professional degree,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Less than high school graduate,Margin of Error; Total: - Foreign born: - Less than high school graduate,Estimate; Total: - Foreign born: - High school graduate (includes equivalency),Margin of Error; Total: - Foreign born: - High school graduate (includes equivalency),Estimate; Total: - Foreign born: - Some college or associate's degree,Margin of Error; Total: - Foreign born: - Some college or associate's degree,Estimate; Total: - Foreign born: - Bachelor's degree,Margin of Error; Total: - Foreign born: - Bachelor's degree,Estimate; Total: - Foreign born: - Graduate or professional degree,Margin of Error; Total: - Foreign born: - Graduate or professional degree
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",483628,3025,62465,4355,158178,6395,146731,5908,73720,5124,42534,3565,300926,7729,43817,3431,108229,6154,87395,5183,39189,3447,22296,2648,163499,7185,15152,2139,45347,4144,53840,3745,31244,3679,17916,2349,3886,990,532,606,895,536,1487,640,572,362,400,300,15317,2430,2964,1025,3707,1144,4009,1586,2715,773,1922,850
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",464210,4639,74628,3468,148183,5081,140230,4700,64329,3566,36840,2325,302372,6682,54183,2864,101712,3933,87016,4242,39603,3272,19858,1733,141000,4998,15636,1828,40207,3600,48338,2892,22198,2090,14621,1901,6015,1219,493,350,1566,782,2547,742,871,384,538,308,14823,1572,4316,803,4698,1046,2329,600,1657,578,1823,530
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",472077,4972,77255,5120,144060,6027,143277,5456,64031,4625,43454,3373,297403,6549,54920,4617,97607,5407,85595,4573,37328,3837,21953,2770,153834,5660,18936,2426,42041,3638,53185,3345,21943,2407,17729,1882,4336,1122,693,497,1053,662,1607,667,857,508,126,161,16504,2098,2706,687,3359,1091,2890,932,3903,1223,3646,1109
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",472340,3835,92610,4969,157757,5894,141552,4481,51327,3704,29094,2584,331639,5707,62582,3828,116193,5504,100106,4138,33965,3291,18793,1958,117942,6110,19695,2625,37104,3554,36034,2621,15513,2071,9596,1392,3241,1081,212,228,545,477,1652,812,635,394,197,185,19518,1924,10121,1820,3915,1419,3760,1165,1214,481,508,475
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",490229,1989,66565,5294,137219,5075,138047,6291,90532,4634,57866,3586,268623,6601,41711,4226,88307,4438,75812,4649,39995,3054,22798,2313,190596,6532,15267,2630,44381,3615,56442,4891,45213,3327,29293,3136,6164,1491,632,525,304,186,2139,946,1387,795,1702,682,24846,2754,8955,1494,4227,1100,3654,1145,3937,1219,4073,1138
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",483675,4788,47955,4361,119956,5686,138075,6013,109930,4994,67759,4122,310624,6410,30589,3023,89087,4998,92389,4948,63316,4213,35243,3096,138430,5870,8771,1962,24920,2615,39955,3440,37731,3041,27053,2498,5876,1526,124,130,1045,617,1944,818,2155,838,608,381,28745,2787,8471,2500,4904,1244,3787,877,6728,1677,4855,1185
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",434554,5660,70216,4594,145883,6111,134349,5365,52811,3547,31295,2298,339848,6931,56772,4355,120372,5490,106023,5241,37312,3114,19369,2126,76409,5100,7948,1397,21489,3127,24754,2427,13347,1670,8871,1298,2325,1108,349,379,361,338,838,778,528,403,249,223,15972,2314,5147,1447,3661,1203,2734,963,1624,622,2806,942
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",478951,1792,32977,2351,133928,4871,170469,5951,90861,4162,50716,3438,128699,4181,12925,1543,48556,2960,44096,3045,17441,2250,5681,1123,288274,4980,12195,1317,66113,3278,106983,5048,62903,3600,40080,3074,13185,1962,922,766,3861,1024,5006,1369,2115,674,1281,595,48793,3566,6935,1571,15398,2494,14384,2063,8402,1503,3674,1014
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",498856,7517,71180,3579,129997,5023,175332,6726,71911,4154,50436,3754,201894,6355,38232,2556,64210,3750,72800,4672,17134,1992,9518,1310,254349,6955,20607,2636,56821,3898,92140,4775,48743,3383,36038,3147,4877,1291,190,198,681,451,1789,821,1396,737,821,565,37736,3007,12151,1759,8285,1446,8603,1574,4638,1160,4059,883
