GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC04_EST_VC40,HC04_MOE_VC40,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC04_EST_VC43,HC04_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC04_EST_VC44,HC04_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC04_EST_VC45,HC04_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC04_EST_VC46,HC04_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC04_EST_VC47,HC04_MOE_VC47
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",563657,2713,55.2,1.2,51.9,1.3,5.7,0.9,37505,2134,28.5,3.4,22.2,3.6,21.9,7.5,42524,1637,70.8,4.6,65.6,4.5,7.3,2.3,47325,1873,72.7,3.8,66.6,4.2,8.2,3.0,43013,1788,77.4,4.7,73.0,4.7,5.2,2.2,84166,1611,78.7,2.5,75.6,2.7,3.5,1.1,92209,1836,70.9,2.4,66.6,2.8,5.8,2.2,48797,2950,62.8,4.1,60.2,3.8,4.1,1.8,47119,2935,44.1,3.7,43.5,3.7,1.5,1.2,72162,1163,22.8,2.6,21.8,2.8,4.6,2.6,48837,1015,5.9,1.5,5.7,1.5,3.6,4.6,388711,2143,55.3,1.3,53.2,1.4,3.6,0.9,147386,2257,54.5,2.0,48.4,2.2,10.9,2.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,380065,2187,55.4,1.3,53.3,1.4,3.7,0.9,405153,2500,69.3,1.5,65.6,1.5,5.1,0.9,195019,1907,72.7,2.2,68.0,2.2,6.0,1.3,210134,1791,66.2,2.0,63.3,2.1,4.2,1.0,69725,3701,69.7,3.8,67.4,3.9,3.4,1.2,15162,1856,69.0,6.7,66.3,6.6,3.9,2.7,14031,2415,62.8,8.1,60.2,8.1,4.1,3.3,40532,2838,72.4,4.6,70.2,4.8,3.0,1.5,63134,6023,39.8,3.0,31.2,3.1,21.5,4.8,332127,6284,76.9,1.3,74.0,1.4,3.5,0.8,53578,3808,30.4,3.5,26.1,3.3,13.9,5.2,362629,3033,69.2,1.4,65.6,1.4,4.9,1.0,44232,3725,46.4,5.0,40.6,4.7,12.4,5.6,112876,5562,64.5,2.4,60.2,2.5,6.6,1.7,115902,5339,70.9,2.6,67.5,2.7,4.4,1.3,89619,5087,84.2,1.9,82.2,1.9,1.6,0.7
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",544728,4709,57.0,1.0,52.5,1.1,6.1,0.8,35157,1899,35.5,4.7,27.3,4.4,22.6,7.4,45361,2279,72.9,4.0,59.8,4.5,14.9,3.7,47143,2550,80.0,3.2,71.0,3.1,6.6,1.9,46501,2057,75.2,3.3,68.7,3.6,5.1,2.1,81824,2739,78.2,2.5,74.0,2.8,4.0,1.3,91114,3057,69.2,2.6,65.5,2.8,3.7,1.1,48075,2642,62.2,3.6,59.6,3.6,4.1,1.8,39596,2454,44.0,3.4,43.0,3.4,2.2,1.8,65346,1509,22.3,2.0,21.8,2.0,2.2,1.7,44611,1242,7.7,1.6,7.7,1.7,0.8,0.9,354367,2853,56.6,1.3,52.4,1.3,4.7,0.8,171055,4786,57.2,1.9,52.1,2.2,8.7,1.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5750,1132,63.7,7.8,50.0,8.3,10.8,6.9,14827,727,69.6,6.2,59.7,6.2,7.8,4.0,346112,2461,56.3,1.2,52.3,1.3,4.6,0.9,399614,4880,70.1,1.3,64.7,1.3,5.6,0.8,196500,3340,74.5,1.9,67.8,1.9,5.1,1.0,203114,2776,65.8,1.7,61.7,1.7,6.0,1.0,70830,3586,73.9,2.5,69.8,2.7,5.4,1.5,18084,2250,74.1,5.6,66.9,5.9,9.8,3.8,12325,1595,70.6,6.2,67.0,6.4,4.9,3.3,40421,3027,74.8,3.5,71.9,3.7,3.7,1.5,68388,4109,44.4,2.9,35.7,3.1,19.0,3.7,318543,6339,77.8,1.2,73.4,1.2,3.9,0.6,64004,4027,30.1,2.7,27.1,2.6,9.6,3.0,354253,4690,69.7,1.4,65.3,1.4,4.3,0.7,50217,3454,48.0,3.7,43.9,3.4,8.5,2.6,112505,4731,64.0,2.3,59.4,2.4,6.3,1.6,112954,4672,76.1,2.2,72.2,2.3,3.5,0.9,78577,3466,82.7,2.1,77.7,2.1,1.8,0.9
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",569203,4051,57.3,1.0,53.0,1.1,6.6,0.7,39586,2783,34.7,4.3,25.6,3.9,26.2,8.2,57540,3153,69.3,4.0,59.4,4.8,13.4,4.1,48403,2549,79.5,3.3,72.0,3.8,7.6,2.6,41229,2950,80.5,3.4,71.2,3.9,8.0,3.0,86387,2816,79.7,2.4,76.3,2.4,3.3,1.3,94189,2766,71.8,2.8,68.6,2.9,4.4,1.3,47693,2830,61.1,3.2,59.1,3.3,3.3,1.7,44444,2708,44.3,3.6,43.0,3.6,3.0,1.7,66045,1404,19.7,2.3,19.5,2.3,0.8,1.1,43687,1344,5.8,1.3,5.5,1.3,4.8,5.5,403351,2965,56.6,1.2,52.9,1.3,5.5,0.8,145784,3881,58.7,2.0,53.3,2.4,8.9,2.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,396059,2569,56.4,1.2,52.7,1.3,5.6,0.8,419885,4435,70.7,1.1,65.8,1.4,6.0,0.8,204751,2801,74.6,1.6,68.9,2.0,5.8,1.1,215134,2829,67.0,1.6,62.8,1.8,6.1,1.2,76055,3862,74.0,2.5,68.5,2.8,7.0,1.9,20354,2412,73.1,5.1,68.0,6.0,6.1,3.7,13289,2197,66.1,7.6,56.0,7.3,15.2,7.1,42412,3138,76.9,3.5,72.7,3.6,5.3,2.3,67785,4942,44.3,3.0,34.1,3.2,22.4,4.5,343528,6701,77.3,1.2,73.4,1.4,4.1,0.7,62324,4786,33.7,3.3,26.9,2.9,19.9,5.6,362345,4740,70.9,1.3,66.8,1.4,4.8,0.7,52106,4222,49.1,3.9,43.6,4.1,11.2,3.7,107067,5131,68.3,2.7,64.7,2.7,5.1,1.4,116843,4776,75.0,2.2,70.4,2.3,4.9,1.2,86329,4201,81.8,2.0,78.5,2.2,2.1,0.9
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",548762,3952,53.8,1.1,50.4,1.1,6.1,0.8,37824,2054,39.8,3.7,32.7,3.6,18.0,6.0,38598,2279,71.8,4.5,63.2,4.8,11.8,3.8,41538,2048,78.0,4.8,70.0,4.8,10.2,3.2,40212,2445,76.9,3.8,73.3,3.9,4.6,1.8,82566,2363,75.9,3.0,72.4,3.1,4.3,1.4,94337,2434,69.5,3.1,66.7,3.1,3.9,1.1,49034,2848,57.4,3.3,55.0,3.4,4.1,2.1,42699,2688,41.8,3.9,40.9,3.9,2.3,1.8,74007,1691,16.1,1.9,15.5,1.8,3.4,2.3,47947,1225,5.7,1.4,5.6,1.4,2.7,4.2,488535,4297,53.3,1.1,50.2,1.1,5.6,0.7,38498,2389,54.0,4.5,48.4,4.8,10.3,3.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27335,1570,67.7,5.0,61.7,5.5,8.9,3.4,468537,3750,52.9,1.1,50.0,1.1,5.4,0.7,388984,4185,68.2,1.4,64.3,1.4,5.6,0.8,192932,2982,73.7,1.9,69.5,2.0,5.5,1.2,196052,2569,62.8,1.9,59.2,2.0,5.7,1.1,69020,3566,70.7,3.2,66.3,3.3,6.2,1.8,13249,1907,70.5,6.8,62.9,6.7,10.8,5.2,15729,1608,62.1,7.5,57.9,7.8,6.8,3.8,40042,2650,74.1,3.7,70.7,3.8,4.5,2.1,64560,4270,38.9,3.0,30.9,2.6,20.5,3.4,322019,5831,74.5,1.4,71.4,1.4,4.0,0.8,65255,4406,26.2,3.0,22.2,2.6,15.2,5.1,350386,3881,67.8,1.4,64.4,1.4,4.9,0.7,62633,4304,46.7,3.5,43.1,3.4,7.7,2.7,112884,5559,66.7,2.6,63.3,2.7,5.1,1.7,113521,4490,73.5,2.5,70.1,2.5,4.5,1.2,61348,4133,80.7,2.2,77.6,2.5,3.4,1.3
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",575462,2355,59.9,0.9,56.5,0.9,5.2,0.7,39544,2640,39.4,3.9,31.4,3.5,20.3,5.9,45689,2167,69.8,4.0,64.4,4.1,7.5,3.2,47075,1577,83.1,4.2,79.0,4.5,4.2,1.8,43866,1516,77.7,4.7,70.4,4.7,8.3,3.1,90774,1850,78.6,3.1,74.9,3.0,4.1,1.5,100717,1843,77.4,2.1,75.2,2.3,2.3,0.9,52732,3052,67.1,3.2,64.4,3.2,3.9,1.6,42646,2862,47.2,3.6,45.0,3.8,4.8,2.6,65892,1200,24.8,2.3,23.6,2.1,4.6,2.8,46527,722,6.5,1.7,6.4,1.7,2.1,3.4,444335,2389,58.6,1.2,55.6,1.1,4.7,0.7,100322,1560,63.2,3.1,58.4,3.1,6.8,1.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10512,1759,71.3,7.1,65.4,8.8,6.7,5.8,23743,1020,68.1,5.5,61.5,5.7,9.2,4.5,428884,1330,58.3,1.2,55.4,1.1,4.6,0.7,423499,2470,73.2,1.2,69.5,1.2,4.5,0.6,208473,1722,78.3,1.6,74.2,1.6,4.4,0.7,215026,1479,68.2,1.6,65.0,1.5,4.6,0.9,72720,3350,69.6,3.1,66.4,3.1,4.6,1.8,14661,2221,71.5,5.6,69.1,6.4,3.4,3.7,14961,2202,60.3,8.0,57.6,7.7,4.5,3.7,43098,3011,72.1,4.1,68.5,3.6,5.0,2.2,58486,5820,45.3,4.1,37.1,3.8,18.2,4.1,355861,6109,79.1,0.8,76.2,0.9,3.2,0.5,53319,4268,38.3,4.0,33.9,3.9,10.9,4.2,377810,2335,73.6,1.3,70.1,1.3,4.1,0.6,47144,4810,50.3,4.4,45.1,4.1,10.4,3.4,99553,4513,64.5,2.7,61.4,3.0,4.9,1.5,110176,6247,78.8,1.7,74.7,1.9,4.5,1.3,120937,4857,85.3,1.8,82.9,1.8,1.9,0.7
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",560355,4790,62.0,1.1,59.2,1.1,4.4,0.5,37660,2154,41.0,4.1,32.7,3.5,20.1,5.7,39020,2479,78.0,3.4,71.4,3.3,8.5,2.4,47224,2436,82.9,3.0,79.6,3.3,3.8,1.8,46281,2837,83.0,2.4,80.1,2.5,3.1,1.5,94747,3577,78.9,2.2,75.7,2.3,3.9,1.1,94293,2959,79.5,2.1,76.6,2.2,3.6,1.2,48043,3248,68.8,3.1,67.2,3.1,2.2,1.0,44016,2674,50.7,3.5,49.9,3.5,1.6,1.2,63703,2116,23.0,2.6,22.6,2.6,1.7,1.5,45368,1427,9.3,2.2,9.0,2.3,2.6,3.6,450880,4957,60.9,1.1,58.6,1.2,3.7,0.6,80984,5177,65.8,3.1,60.3,3.4,8.1,2.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,439813,4762,60.7,1.1,58.4,1.2,3.7,0.6,413624,5235,75.7,1.3,72.7,1.3,3.8,0.5,201122,3757,81.1,1.6,78.0,1.7,3.7,0.7,212502,3357,70.5,1.8,67.7,1.8,3.9,0.8,78609,3575,71.0,3.0,67.8,3.1,4.4,1.7,18331,2266,71.5,5.1,66.8,5.5,6.1,4.1,13680,2242,66.9,7.3,64.4,7.3,3.9,2.6,46598,2868,72.0,3.7,69.2,4.0,3.9,2.1,38327,4467,46.6,5.7,36.6,5.8,21.4,6.0,368912,6620,79.7,1.1,77.4,1.1,2.7,0.5,45084,3894,37.5,4.0,34.0,4.0,9.2,3.7,374604,4800,75.4,1.3,72.8,1.4,3.3,0.5,33420,3558,50.8,5.8,46.9,5.6,7.7,3.3,84537,4780,66.2,2.8,63.1,3.0,4.6,1.4,112828,5784,76.5,2.1,73.8,2.1,3.5,1.1,143819,5716,85.7,1.3,83.9,1.5,2.0,0.7
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",535574,6317,55.6,1.1,49.5,1.1,10.9,0.9,44030,2447,29.4,3.9,21.0,3.6,28.5,6.8,56990,3044,70.8,3.2,58.1,4.1,17.3,3.5,48522,3073,76.7,3.4,65.2,4.0,14.8,3.8,41233,3178,81.0,4.1,70.1,4.3,13.4,3.6,77805,3119,77.2,3.2,71.2,3.5,7.5,2.0,78764,2792,70.0,2.5,65.3,2.6,6.7,1.8,46519,2589,57.6,3.9,53.5,4.0,7.1,2.6,41891,2364,44.3,3.5,41.7,3.7,5.8,2.9,58514,2318,18.4,2.4,17.9,2.4,2.7,1.9,41306,1580,6.6,1.9,5.8,1.5,12.6,14.2,187938,5035,56.2,1.7,51.7,1.8,7.7,1.7,331271,6097,54.8,1.5,47.6,1.4,13.1,1.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,182742,5133,56.0,1.6,51.6,1.8,7.6,1.6,391724,5925,69.3,1.2,62.0,1.3,10.4,1.0,184346,4318,71.7,1.9,64.0,1.9,10.6,1.4,207378,3595,67.2,1.6,60.2,1.7,10.2,1.6,64047,3950,75.4,2.8,65.0,3.2,13.8,3.1,15213,2250,79.0,6.4,61.1,7.2,22.7,7.9,10926,1635,74.8,6.6,63.6,8.1,15.0,8.3,37908,3175,74.1,4.0,67.1,4.4,9.5,3.4,84258,5660,48.8,2.9,32.7,2.4,32.8,3.6,298128,7712,76.5,1.5,71.6,1.6,6.3,1.0,68487,4391,29.8,3.1,25.2,2.5,15.5,3.9,334734,5698,69.1,1.4,62.6,1.4,9.2,1.1,47314,4046,46.8,4.6,39.7,4.1,15.2,4.2,106197,5747,61.9,2.9,54.6,2.8,11.9,2.5,113186,4946,76.4,2.3,69.4,2.4,9.0,1.6,68037,3983,83.5,2.4,79.9,2.5,3.9,1.7
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",575088,1406,70.2,0.8,62.1,1.0,8.0,0.8,39247,2261,40.3,3.3,28.5,3.1,24.6,6.4,56890,1971,82.3,2.9,59.1,3.7,17.2,3.4,64041,1767,84.1,2.3,74.0,2.5,6.2,1.4,57588,2135,82.7,2.1,71.8,2.9,8.3,2.0,92373,2398,82.9,1.7,76.3,2.0,5.4,1.3,93124,2090,82.3,1.7,76.5,1.8,6.4,1.3,54081,2687,78.2,2.6,73.0,3.1,6.7,2.8,41912,2254,58.7,3.2,56.0,3.5,4.5,2.4,52097,1100,33.7,3.0,32.8,3.0,2.6,1.5,23735,892,8.3,2.3,7.5,2.3,9.5,9.0,388347,2647,71.7,0.9,64.7,1.2,5.4,0.7,19507,1407,73.9,5.1,62.6,7.1,8.6,5.5,77053,2458,58.0,2.4,45.4,2.6,21.3,2.3,36785,1887,76.1,3.3,71.9,3.7,3.7,1.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36168,3558,68.7,3.5,59.1,3.6,11.7,3.2,35955,815,75.6,3.9,61.2,4.7,11.5,7.2,370097,1101,71.6,1.0,64.9,1.3,5.4,0.7,460009,2008,80.1,0.9,71.1,1.1,7.5,0.8,242815,2053,84.6,1.2,72.9,1.5,8.2,1.4,217194,1859,75.1,1.4,69.1,1.4,6.8,0.7,73940,3202,75.3,2.5,68.9,2.8,7.7,1.5,18645,1864,75.7,4.6,65.8,5.7,10.6,5.2,17605,1737,64.6,5.4,59.3,5.6,8.1,3.4,37690,2268,80.1,2.6,74.9,3.0,6.3,1.8,40410,3551,52.7,4.0,34.9,3.3,33.0,4.0,408531,3903,83.7,0.9,76.4,1.2,5.9,0.8,49818,3709,55.7,3.3,47.9,3.6,12.9,3.5,403119,2327,79.8,1.0,72.8,1.1,6.3,0.7,24835,2047,59.0,5.4,52.3,5.1,11.3,2.9,114575,4602,73.7,1.8,65.8,2.1,9.6,1.4,145856,5586,82.3,1.4,74.6,1.8,6.2,1.5,117853,4945,86.9,1.3,81.7,1.5,2.9,0.9
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",602366,8120,50.9,1.0,46.3,0.9,9.0,0.9,50356,3101,32.0,3.2,23.9,2.9,25.1,5.8,53154,2940,69.3,3.2,59.1,3.5,14.1,3.3,44585,3079,68.2,3.3,58.7,3.6,13.9,2.8,47754,2408,70.3,3.7,62.9,3.5,10.6,2.9,90333,3942,68.2,2.7,63.4,2.7,6.8,1.6,82392,3026,70.2,2.5,66.6,2.5,5.1,1.3,48337,2742,62.6,3.5,59.7,3.4,4.7,1.6,49353,2833,42.3,2.9,40.8,3.1,3.7,2.2,85750,3388,18.8,2.1,17.7,2.0,5.7,3.7,50352,2802,6.3,1.2,5.9,1.3,6.1,5.0,409956,7993,52.1,1.3,48.7,1.3,6.4,0.9,N,N,N,N,N,N,N,N,126941,2920,44.1,1.9,36.4,2.0,17.5,1.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,22707,3360,57.9,6.8,54.7,7.0,5.6,4.2,17358,2257,56.5,6.4,43.6,6.3,22.8,7.1,119243,5173,59.8,2.5,55.0,2.5,8.0,1.9,321383,6671,50.1,1.3,47.0,1.3,6.0,1.0,415908,7346,65.3,1.2,59.8,1.2,8.2,0.8,212767,4870,67.3,1.6,61.5,1.6,8.4,1.0,203141,4451,63.1,1.8,58.0,1.8,8.0,1.4,69594,2834,64.8,3.1,59.9,3.3,7.5,2.2,12043,1594,68.5,6.0,62.6,6.0,8.3,3.8,16952,1747,53.7,6.5,49.8,6.4,7.3,4.0,40599,2421,68.4,4.3,63.3,4.4,7.3,2.8,81043,5089,42.9,2.8,30.1,2.4,29.8,3.4,315240,7688,74.5,1.3,70.6,1.3,5.1,0.8,55840,3898,36.5,3.7,30.8,3.2,15.5,4.1,362754,6666,64.7,1.3,59.9,1.3,7.3,0.8,49733,3468,46.0,4.2,38.4,3.9,16.7,3.4,100433,4817,56.1,2.4,51.3,2.2,8.6,1.7,131815,5628,69.7,2.1,64.7,2.1,7.1,1.5,80773,4646,78.5,2.2,75.9,2.4,3.1,1.1
5001500US0402,0402,"Congressional District 2 (115th Congress), Arizona",591420,8250,57.1,1.0,52.2,1.0,6.6,0.8,32185,2507,43.1,4.1,31.3,4.2,23.6,6.7,52130,3696,78.0,3.4,66.7,3.6,10.2,2.8,51303,2368,80.2,3.1,72.4,3.3,6.7,2.2,44257,2288,78.5,3.0,72.7,3.2,4.9,1.5,78519,3127,79.4,2.2,73.5,2.5,5.2,1.7,84666,3075,77.1,2.4,72.2,2.6,5.6,1.7,45813,2853,67.6,3.6,64.0,3.7,5.4,1.9,51228,2980,50.3,3.3,48.2,3.3,4.3,2.0,85310,2916,22.6,2.2,21.5,2.1,4.9,2.2,66009,2111,5.0,1.0,4.9,1.0,2.2,3.6,492140,8508,55.4,1.1,50.8,1.1,6.5,0.9,23227,2158,66.1,5.4,58.7,5.6,7.6,3.0,8606,1785,66.3,8.6,54.8,10.7,17.4,10.9,19857,1859,60.5,4.7,57.4,4.6,2.5,1.8,N,N,N,N,N,N,N,N,28482,4540,68.6,5.0,64.1,5.2,6.6,3.0,18185,2801,64.0,6.4,55.6,6.4,8.7,4.7,148241,5755,64.9,2.4,59.1,2.6,8.2,1.7,384695,5736,53.1,1.1,49.0,1.2,5.6,1.0,407916,7628,73.8,1.2,67.9,1.2,6.0,0.8,202523,4261,77.0,1.8,69.8,1.8,6.3,1.1,205393,4783,70.6,1.5,66.0,1.5,5.8,1.1,65684,3357,68.8,2.8,63.3,3.1,6.9,2.4,16158,2220,66.9,6.8,60.3,6.5,6.6,5.3,13782,1987,57.1,6.3,54.9,7.0,3.3,4.0,35744,2832,74.1,3.9,68.0,4.5,8.1,3.5,64793,4611,50.5,2.8,41.5,3.2,17.6,4.1,328838,7537,80.9,1.1,75.9,1.2,4.6,0.8,51579,4268,43.0,3.1,38.0,3.1,11.3,2.9,355786,6227,73.2,1.2,68.0,1.3,5.4,0.8,35873,3501,52.2,4.5,45.4,4.5,13.2,4.4,74231,5813,67.3,2.7,62.3,2.7,7.2,1.7,128215,5154,74.6,1.8,69.5,2.0,5.1,1.3,117467,5829,81.6,1.7,77.1,1.7,3.3,1.0
