GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",264399,4299,180068,4651,84331,4777
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",259766,3730,169304,4320,90462,4088
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",270850,4642,188290,5021,82560,4189
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",256036,3945,190857,4616,65179,4048
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",278329,4056,196531,4301,81798,4216
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",267123,4039,199853,4192,67270,4160
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",256015,4403,143235,4460,112780,4174
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",248468,2841,160215,3268,88253,3611
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",249358,5907,174307,5078,75051,4348
5001500US0402,0402,"Congressional District 2 (115th Congress), Arizona",301297,4789,185662,4709,115635,4597
5001500US0403,0403,"Congressional District 3 (115th Congress), Arizona",242621,5013,152962,4908,89659,4184
5001500US0404,0404,"Congressional District 4 (115th Congress), Arizona",296652,4761,219077,5432,77575,4862
5001500US0405,0405,"Congressional District 5 (115th Congress), Arizona",274044,5559,195486,5348,78558,4457
5001500US0406,0406,"Congressional District 6 (115th Congress), Arizona",313796,6743,203693,5348,110103,4823
5001500US0407,0407,"Congressional District 7 (115th Congress), Arizona",245571,5579,109430,3790,136141,5248
5001500US0408,0408,"Congressional District 8 (115th Congress), Arizona",286511,5199,208198,5091,78313,3693
5001500US0409,0409,"Congressional District 9 (115th Congress), Arizona",309202,6754,144199,4663,165003,5725
5001500US0501,0501,"Congressional District 1 (115th Congress), Arkansas",273559,3973,179300,4468,94259,3923
5001500US0502,0502,"Congressional District 2 (115th Congress), Arkansas",293331,4006,182548,3968,110783,3955
5001500US0503,0503,"Congressional District 3 (115th Congress), Arkansas",303127,3284,184819,4202,118308,4477
5001500US0504,0504,"Congressional District 4 (115th Congress), Arkansas",272701,4712,190965,4283,81736,4269
5001500US0601,0601,"Congressional District 1 (115th Congress), California",273669,3690,176997,4515,96672,4455
5001500US0602,0602,"Congressional District 2 (115th Congress), California",283904,3871,176578,4067,107326,4049
5001500US0603,0603,"Congressional District 3 (115th Congress), California",251190,3240,140322,4438,110868,4044
5001500US0604,0604,"Congressional District 4 (115th Congress), California",274386,3929,199793,4101,74593,4390
5001500US0605,0605,"Congressional District 5 (115th Congress), California",262302,4818,157620,4746,104682,4504
5001500US0606,0606,"Congressional District 6 (115th Congress), California",271977,4767,125263,4182,146714,4345
5001500US0607,0607,"Congressional District 7 (115th Congress), California",261127,4299,166893,4248,94234,4138
5001500US0608,0608,"Congressional District 8 (115th Congress), California",232951,4263,139172,4703,93779,4587
5001500US0609,0609,"Congressional District 9 (115th Congress), California",237359,3578,135901,4361,101458,3979
5001500US0610,0610,"Congressional District 10 (115th Congress), California",235531,2972,135956,4511,99575,4604
5001500US0611,0611,"Congressional District 11 (115th Congress), California",266301,3365,163724,4076,102577,3778
5001500US0612,0612,"Congressional District 12 (115th Congress), California",324880,4343,114293,4171,210587,4834
5001500US0613,0613,"Congressional District 13 (115th Congress), California",287921,3981,125233,3820,162688,4029
5001500US0614,0614,"Congressional District 14 (115th Congress), California",253163,3456,149775,4455,103388,4152
5001500US0615,0615,"Congressional District 15 (115th Congress), California",250240,3132,156700,3307,93540,3614
5001500US0616,0616,"Congressional District 16 (115th Congress), California",210616,3966,97168,3869,113448,4617
5001500US0617,0617,"Congressional District 17 (115th Congress), California",257515,4826,137427,3922,120088,4255
5001500US0618,0618,"Congressional District 18 (115th Congress), California",268446,4860,161281,3946,107165,3751
5001500US0619,0619,"Congressional District 19 (115th Congress), California",226671,3676,134588,3552,92083,3915
5001500US0620,0620,"Congressional District 20 (115th Congress), California",227623,3225,117911,4336,109712,4374
5001500US0621,0621,"Congressional District 21 (115th Congress), California",187890,4581,93523,4060,94367,3895
5001500US0622,0622,"Congressional District 22 (115th Congress), California",241790,4361,144428,4793,97362,4518
5001500US0623,0623,"Congressional District 23 (115th Congress), California",242551,5477,145481,4722,97070,4877
5001500US0624,0624,"Congressional District 24 (115th Congress), California",252574,3216,140462,3446,112112,3582
5001500US0625,0625,"Congressional District 25 (115th Congress), California",225209,4312,147207,4044,78002,3819
5001500US0626,0626,"Congressional District 26 (115th Congress), California",228178,2731,139409,4237,88769,3641
5001500US0627,0627,"Congressional District 27 (115th Congress), California",243721,5672,127605,4740,116116,4667
5001500US0628,0628,"Congressional District 28 (115th Congress), California",297443,5093,96954,3846,200489,6019
5001500US0629,0629,"Congressional District 29 (115th Congress), California",211315,4591,86363,3232,124952,4101
5001500US0630,0630,"Congressional District 30 (115th Congress), California",275641,6046,143269,4400,132372,5384
5001500US0631,0631,"Congressional District 31 (115th Congress), California",222147,4072,114923,3624,107224,4046
5001500US0632,0632,"Congressional District 32 (115th Congress), California",191240,3459,112118,3356,79122,2693
5001500US0633,0633,"Congressional District 33 (115th Congress), California",301954,5417,147821,3981,154133,5170
5001500US0634,0634,"Congressional District 34 (115th Congress), California",255952,5437,53606,2642,202346,4943
5001500US0635,0635,"Congressional District 35 (115th Congress), California",191182,4490,108788,3828,82394,3690
5001500US0636,0636,"Congressional District 36 (115th Congress), California",267899,4761,174728,5013,93171,4399
5001500US0637,0637,"Congressional District 37 (115th Congress), California",273317,5087,94563,3519,178754,5077
