GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With cash public assistance or Food Stamps/SNAP,Margin of Error; Total: - With cash public assistance or Food Stamps/SNAP,Estimate; Total: - No cash public assistance or Food Stamps/SNAP,Margin of Error; Total: - No cash public assistance or Food Stamps/SNAP
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",262679,4254,35993,3194,226686,4826
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",245124,4575,39365,2728,205759,4553
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",274860,4733,38978,3620,235882,5457
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",254061,4478,35922,2711,218139,4713
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",284883,4340,36652,2961,248231,4882
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",262296,4545,19251,2522,243045,4725
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",257762,5452,57632,3575,200130,5568
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",250741,3074,33454,2862,217287,3892
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",255285,5713,36395,2507,218890,5425
5001500US0402,0402,"Congressional District 2 (115th Congress), Arizona",303440,4908,37566,3128,265874,5197
5001500US0403,0403,"Congressional District 3 (115th Congress), Arizona",242271,5958,49786,3816,192485,5834
5001500US0404,0404,"Congressional District 4 (115th Congress), Arizona",307261,4770,33592,3756,273669,5901
5001500US0405,0405,"Congressional District 5 (115th Congress), Arizona",291062,4761,15522,1963,275540,5043
5001500US0406,0406,"Congressional District 6 (115th Congress), Arizona",315622,6086,18280,1861,297342,6356
5001500US0407,0407,"Congressional District 7 (115th Congress), Arizona",243861,4332,55572,3401,188289,5059
5001500US0408,0408,"Congressional District 8 (115th Congress), Arizona",290198,5447,18254,1791,271944,5666
5001500US0409,0409,"Congressional District 9 (115th Congress), Arizona",303972,5899,25410,2822,278562,5777
5001500US0501,0501,"Congressional District 1 (115th Congress), Arkansas",283126,3719,43820,3072,239306,3791
5001500US0502,0502,"Congressional District 2 (115th Congress), Arkansas",293697,4178,27804,2770,265893,5333
5001500US0503,0503,"Congressional District 3 (115th Congress), Arkansas",301844,4100,28547,2483,273297,4320
5001500US0504,0504,"Congressional District 4 (115th Congress), Arkansas",274415,4766,41826,2836,232589,4892
5001500US0601,0601,"Congressional District 1 (115th Congress), California",282678,4062,33089,2953,249589,4482
5001500US0602,0602,"Congressional District 2 (115th Congress), California",278942,3964,22208,2374,256734,4258
5001500US0603,0603,"Congressional District 3 (115th Congress), California",251430,3795,30218,2561,221212,4003
5001500US0604,0604,"Congressional District 4 (115th Congress), California",280226,4269,17627,2330,262599,4350
5001500US0605,0605,"Congressional District 5 (115th Congress), California",265405,4377,21659,2288,243746,5018
5001500US0606,0606,"Congressional District 6 (115th Congress), California",277502,4450,40783,3529,236719,4999
5001500US0607,0607,"Congressional District 7 (115th Congress), California",263770,3961,24740,2422,239030,4599
5001500US0608,0608,"Congressional District 8 (115th Congress), California",227852,4188,41391,3787,186461,5342
5001500US0609,0609,"Congressional District 9 (115th Congress), California",236131,4307,32903,2905,203228,4833
5001500US0610,0610,"Congressional District 10 (115th Congress), California",237723,3438,29897,2445,207826,4045
5001500US0611,0611,"Congressional District 11 (115th Congress), California",267976,3750,21183,3010,246793,4170
5001500US0612,0612,"Congressional District 12 (115th Congress), California",328247,4412,18277,2335,309970,5118
5001500US0613,0613,"Congressional District 13 (115th Congress), California",286121,3586,25715,2671,260406,4239
5001500US0614,0614,"Congressional District 14 (115th Congress), California",252322,3308,9796,1533,242526,3201
5001500US0615,0615,"Congressional District 15 (115th Congress), California",253687,4364,16090,2201,237597,4887
5001500US0616,0616,"Congressional District 16 (115th Congress), California",213382,3606,54780,3207,158602,4328
5001500US0617,0617,"Congressional District 17 (115th Congress), California",253748,4853,13853,1986,239895,5162
5001500US0618,0618,"Congressional District 18 (115th Congress), California",269056,4701,8592,1665,260464,5114
5001500US0619,0619,"Congressional District 19 (115th Congress), California",228985,4490,19836,2150,209149,4738
5001500US0620,0620,"Congressional District 20 (115th Congress), California",224309,3344,20268,2104,204041,3575
5001500US0621,0621,"Congressional District 21 (115th Congress), California",191271,3830,43388,3463,147883,4231
5001500US0622,0622,"Congressional District 22 (115th Congress), California",244440,4336,46977,3571,197463,5255
5001500US0623,0623,"Congressional District 23 (115th Congress), California",241420,4076,35257,3433,206163,5167
5001500US0624,0624,"Congressional District 24 (115th Congress), California",255648,3420,18148,2457,237500,4014
5001500US0625,0625,"Congressional District 25 (115th Congress), California",217168,4752,18257,1708,198911,5056
5001500US0626,0626,"Congressional District 26 (115th Congress), California",232050,2121,20443,2330,211607,2535
5001500US0627,0627,"Congressional District 27 (115th Congress), California",240261,4582,9296,1315,230965,4353
5001500US0628,0628,"Congressional District 28 (115th Congress), California",298448,5881,20967,2520,277481,6250
5001500US0629,0629,"Congressional District 29 (115th Congress), California",212129,5172,27156,2355,184973,4994
5001500US0630,0630,"Congressional District 30 (115th Congress), California",280607,6347,13981,1901,266626,6588
5001500US0631,0631,"Congressional District 31 (115th Congress), California",224483,3861,35224,2698,189259,4636
5001500US0632,0632,"Congressional District 32 (115th Congress), California",194974,4037,16615,1421,178359,4247
5001500US0633,0633,"Congressional District 33 (115th Congress), California",290376,6193,7514,1395,282862,6028
5001500US0634,0634,"Congressional District 34 (115th Congress), California",254775,5744,34855,2648,219920,5696
5001500US0635,0635,"Congressional District 35 (115th Congress), California",192450,3816,29197,2645,163253,4546
5001500US0636,0636,"Congressional District 36 (115th Congress), California",276677,5621,28396,2490,248281,6345
5001500US0637,0637,"Congressional District 37 (115th Congress), California",274250,6322,27576,3032,246674,6348
5001500US0638,0638,"Congressional District 38 (115th Congress), California",206255,4561,15892,1748,190363,4388
5001500US0639,0639,"Congressional District 39 (115th Congress), California",226049,3809,15263,2167,210786,4575
5001500US0640,0640,"Congressional District 40 (115th Congress), California",184167,4131,35616,2587,148551,4113
5001500US0641,0641,"Congressional District 41 (115th Congress), California",186332,4464,25167,2490,161165,4823
5001500US0642,0642,"Congressional District 42 (115th Congress), California",228811,4075,17353,2080,211458,4444
5001500US0643,0643,"Congressional District 43 (115th Congress), California",242994,4917,28707,2746,214287,5320
5001500US0644,0644,"Congressional District 44 (115th Congress), California",187699,3986,33123,2513,154576,4109
5001500US0645,0645,"Congressional District 45 (115th Congress), California",275654,5046,10961,1944,264693,5375
5001500US0646,0646,"Congressional District 46 (115th Congress), California",188471,4276,25804,2354,162667,5207
5001500US0647,0647,"Congressional District 47 (115th Congress), California",246627,5454,24879,2149,221748,5993
5001500US0648,0648,"Congressional District 48 (115th Congress), California",266038,5122,16193,2362,249845,5714
5001500US0649,0649,"Congressional District 49 (115th Congress), California",261728,5151,13117,1798,248611,5479
5001500US0650,0650,"Congressional District 50 (115th Congress), California",241359,4091,19473,2463,221886,4561
5001500US0651,0651,"Congressional District 51 (115th Congress), California",203666,5304,39725,3550,163941,5742
5001500US0652,0652,"Congressional District 52 (115th Congress), California",286069,6501,9902,1865,276167,6655
5001500US0653,0653,"Congressional District 53 (115th Congress), California",272259,5598,23562,2566,248697,6360
5001500US0801,0801,"Congressional District 1 (115th Congress), Colorado",347044,3699,28433,2623,318611,4171
5001500US0802,0802,"Congressional District 2 (115th Congress), Colorado",315832,4108,16565,1994,299267,4306
5001500US0803,0803,"Congressional District 3 (115th Congress), Colorado",292491,4636,35709,2785,256782,4543
5001500US0804,0804,"Congressional District 4 (115th Congress), Colorado",295268,3568,24740,2429,270528,3830
5001500US0805,0805,"Congressional District 5 (115th Congress), Colorado",297598,3089,29481,2369,268117,3738
5001500US0806,0806,"Congressional District 6 (115th Congress), Colorado",291946,3734,19235,2229,272711,4328
5001500US0807,0807,"Congressional District 7 (115th Congress), Colorado",299028,2982,21375,2362,277653,3940
5001500US0901,0901,"Congressional District 1 (115th Congress), Connecticut",279014,4019,42673,3081,236341,4429
5001500US0902,0902,"Congressional District 2 (115th Congress), Connecticut",273508,4228,26163,2612,247345,4633
5001500US0903,0903,"Congressional District 3 (115th Congress), Connecticut",268206,4929,37113,3050,231093,5184
5001500US0904,0904,"Congressional District 4 (115th Congress), Connecticut",261440,3478,23836,2630,237604,3884
5001500US0905,0905,"Congressional District 5 (115th Congress), Connecticut",274594,4691,44375,3660,230219,5310
5001500US1000,1000,"Congressional District (at Large) (115th Congress), Delaware",357937,4266,39015,2926,318922,4318
5001500US1198,1198,"Delegate District (at Large) (115th Congress), District of Columbia",281475,3302,39000,2841,242475,3792
5001500US1201,1201,"Congressional District 1 (115th Congress), Florida",297700,4715,37370,3151,260330,4824
5001500US1202,1202,"Congressional District 2 (115th Congress), Florida",269813,5371,37172,3630,232641,5832
5001500US1203,1203,"Congressional District 3 (115th Congress), Florida",266829,4406,36585,3231,230244,5052
5001500US1204,1204,"Congressional District 4 (115th Congress), Florida",304912,4956,23694,2384,281218,5565
5001500US1205,1205,"Congressional District 5 (115th Congress), Florida",269908,5129,60907,4369,209001,5879
5001500US1206,1206,"Congressional District 6 (115th Congress), Florida",308131,5184,40509,3507,267622,5027
5001500US1207,1207,"Congressional District 7 (115th Congress), Florida",289203,5068,29385,3299,259818,5433
5001500US1208,1208,"Congressional District 8 (115th Congress), Florida",291341,5152,29693,3007,261648,5024
5001500US1209,1209,"Congressional District 9 (115th Congress), Florida",273983,5900,50634,4073,223349,6795
5001500US1210,1210,"Congressional District 10 (115th Congress), Florida",278232,5795,49479,3929,228753,5656
5001500US1211,1211,"Congressional District 11 (115th Congress), Florida",321140,6524,35881,3049,285259,6309
5001500US1212,1212,"Congressional District 12 (115th Congress), Florida",314204,4992,36353,3269,277851,5376
5001500US1213,1213,"Congressional District 13 (115th Congress), Florida",304154,5079,35431,2511,268723,5321
5001500US1214,1214,"Congressional District 14 (115th Congress), Florida",301090,5034,46900,3408,254190,4940
5001500US1215,1215,"Congressional District 15 (115th Congress), Florida",278634,6852,38649,3513,239985,6869
5001500US1216,1216,"Congressional District 16 (115th Congress), Florida",315102,5132,30105,2999,284997,5498
5001500US1217,1217,"Congressional District 17 (115th Congress), Florida",299235,6599,33838,2967,265397,6672
5001500US1218,1218,"Congressional District 18 (115th Congress), Florida",293652,5411,26686,2673,266966,5610
5001500US1219,1219,"Congressional District 19 (115th Congress), Florida",313159,6738,25686,2743,287473,6653
5001500US1220,1220,"Congressional District 20 (115th Congress), Florida",247808,5684,54585,2957,193223,5564
5001500US1221,1221,"Congressional District 21 (115th Congress), Florida",295802,5824,30117,2443,265685,6349
5001500US1222,1222,"Congressional District 22 (115th Congress), Florida",303636,7401,23636,2580,280000,7513
5001500US1223,1223,"Congressional District 23 (115th Congress), Florida",267627,5059,24628,3067,242999,5561
5001500US1224,1224,"Congressional District 24 (115th Congress), Florida",239380,5897,70892,4562,168488,5757
5001500US1225,1225,"Congressional District 25 (115th Congress), Florida",246558,5782,63056,3745,183502,5066
5001500US1226,1226,"Congressional District 26 (115th Congress), Florida",227080,5719,53679,3248,173401,6211
5001500US1227,1227,"Congressional District 27 (115th Congress), Florida",271651,4954,59960,3616,211691,5470
5001500US1301,1301,"Congressional District 1 (115th Congress), Georgia",276109,4228,39662,3327,236447,4502
5001500US1302,1302,"Congressional District 2 (115th Congress), Georgia",245599,4130,58554,3459,187045,4898
5001500US1303,1303,"Congressional District 3 (115th Congress), Georgia",272918,4028,33127,3163,239791,4114
5001500US1304,1304,"Congressional District 4 (115th Congress), Georgia",262056,5257,39806,4016,222250,5974
5001500US1305,1305,"Congressional District 5 (115th Congress), Georgia",303273,6234,53888,3814,249385,6050
5001500US1306,1306,"Congressional District 6 (115th Congress), Georgia",284919,5749,11583,1832,273336,5913
5001500US1307,1307,"Congressional District 7 (115th Congress), Georgia",263436,4950,17855,2721,245581,5377
5001500US1308,1308,"Congressional District 8 (115th Congress), Georgia",257564,4595,40403,3086,217161,5055
5001500US1309,1309,"Congressional District 9 (115th Congress), Georgia",263353,4659,31863,2791,231490,4349
5001500US1310,1310,"Congressional District 10 (115th Congress), Georgia",259444,5251,32236,2861,227208,5222
5001500US1311,1311,"Congressional District 11 (115th Congress), Georgia",286732,4553,17092,2423,269640,4924
5001500US1312,1312,"Congressional District 12 (115th Congress), Georgia",246483,5005,42740,3543,203743,5328
5001500US1313,1313,"Congressional District 13 (115th Congress), Georgia",267301,6426,37253,3877,230048,6970
5001500US1314,1314,"Congressional District 14 (115th Congress), Georgia",255887,3957,31223,3191,224664,4914
