GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
5001500US0101,0101,"Congressional District 1 (115th Congress), Alabama",682820,456228,389832,66396,226592,0
5001500US0102,0102,"Congressional District 2 (115th Congress), Alabama",682820,373585,259770,113815,309235,0
5001500US0103,0103,"Congressional District 3 (115th Congress), Alabama",682819,343078,248414,94664,339741,0
5001500US0104,0104,"Congressional District 4 (115th Congress), Alabama",682819,236405,122567,113838,446414,0
5001500US0105,0105,"Congressional District 5 (115th Congress), Alabama",682819,447466,404064,43402,235353,0
5001500US0106,0106,"Congressional District 6 (115th Congress), Alabama",682819,472327,450442,21885,210492,0
5001500US0107,0107,"Congressional District 7 (115th Congress), Alabama",682820,492715,450215,42500,190105,0
5001500US0200,0200,"Congressional District (at Large) (115th Congress), Alaska",710231,468893,315756,153137,241338,0
5001500US0401,0401,"Congressional District 1 (115th Congress), Arizona",710224,440755,209902,230853,269469,0
5001500US0402,0402,"Congressional District 2 (115th Congress), Arizona",710224,633371,547610,85761,76853,0
5001500US0403,0403,"Congressional District 3 (115th Congress), Arizona",710224,630678,512621,118057,79546,0
5001500US0404,0404,"Congressional District 4 (115th Congress), Arizona",710224,526419,343280,183139,183805,0
5001500US0405,0405,"Congressional District 5 (115th Congress), Arizona",710224,708174,708174,0,2050,0
5001500US0406,0406,"Congressional District 6 (115th Congress), Arizona",710224,688035,688035,0,22189,0
5001500US0407,0407,"Congressional District 7 (115th Congress), Arizona",710224,709714,709714,0,510,0
5001500US0408,0408,"Congressional District 8 (115th Congress), Arizona",710225,693291,688225,5066,16934,0
5001500US0409,0409,"Congressional District 9 (115th Congress), Arizona",710224,710222,710222,0,2,0
5001500US0501,0501,"Congressional District 1 (115th Congress), Arkansas",728765,332015,136593,195422,396750,0
5001500US0502,0502,"Congressional District 2 (115th Congress), Arkansas",729192,514971,465761,49210,214221,0
5001500US0503,0503,"Congressional District 3 (115th Congress), Arkansas",728959,492974,412984,79990,235985,0
5001500US0504,0504,"Congressional District 4 (115th Congress), Arkansas",729002,297629,137499,160130,431373,0
5001500US0601,0601,"Congressional District 1 (115th Congress), California",702905,440196,215916,224280,262709,0
5001500US0602,0602,"Congressional District 2 (115th Congress), California",702905,543569,362807,180762,159336,0
5001500US0603,0603,"Congressional District 3 (115th Congress), California",702906,610254,498117,112137,92652,0
5001500US0604,0604,"Congressional District 4 (115th Congress), California",702906,461298,316126,145172,241608,0
5001500US0605,0605,"Congressional District 5 (115th Congress), California",702905,648164,585165,62999,54741,0
5001500US0606,0606,"Congressional District 6 (115th Congress), California",702905,702192,702192,0,713,0
5001500US0607,0607,"Congressional District 7 (115th Congress), California",702904,684833,679049,5784,18071,0
5001500US0608,0608,"Congressional District 8 (115th Congress), California",702905,600818,436559,164259,102087,0
5001500US0609,0609,"Congressional District 9 (115th Congress), California",702904,652587,604389,48198,50317,0
5001500US0610,0610,"Congressional District 10 (115th Congress), California",702905,649244,602013,47231,53661,0
5001500US0611,0611,"Congressional District 11 (115th Congress), California",702906,698633,698633,0,4273,0
5001500US0612,0612,"Congressional District 12 (115th Congress), California",702905,702905,702905,0,0,0
5001500US0613,0613,"Congressional District 13 (115th Congress), California",702906,702865,702865,0,41,0
5001500US0614,0614,"Congressional District 14 (115th Congress), California",702905,697036,676323,20713,5869,0
5001500US0615,0615,"Congressional District 15 (115th Congress), California",702904,697900,697900,0,5004,0
5001500US0616,0616,"Congressional District 16 (115th Congress), California",702904,635716,558323,77393,67188,0
5001500US0617,0617,"Congressional District 17 (115th Congress), California",702904,701108,701108,0,1796,0
5001500US0618,0618,"Congressional District 18 (115th Congress), California",702906,672328,672328,0,30578,0
5001500US0619,0619,"Congressional District 19 (115th Congress), California",702904,690969,690969,0,11935,0
5001500US0620,0620,"Congressional District 20 (115th Congress), California",702906,633498,523277,110221,69408,0
5001500US0621,0621,"Congressional District 21 (115th Congress), California",702904,599099,311310,287789,103805,0
5001500US0622,0622,"Congressional District 22 (115th Congress), California",702905,644488,551486,93002,58417,0
5001500US0623,0623,"Congressional District 23 (115th Congress), California",702904,611979,509469,102510,90925,0
5001500US0624,0624,"Congressional District 24 (115th Congress), California",702904,635616,562108,73508,67288,0
5001500US0625,0625,"Congressional District 25 (115th Congress), California",702904,662686,650878,11808,40218,0
5001500US0626,0626,"Congressional District 26 (115th Congress), California",702905,680202,635379,44823,22703,0
5001500US0627,0627,"Congressional District 27 (115th Congress), California",702905,701455,701384,71,1450,0
5001500US0628,0628,"Congressional District 28 (115th Congress), California",702904,701940,701940,0,964,0
5001500US0629,0629,"Congressional District 29 (115th Congress), California",702905,702807,702807,0,98,0
5001500US0630,0630,"Congressional District 30 (115th Congress), California",702904,702053,702053,0,851,0
5001500US0631,0631,"Congressional District 31 (115th Congress), California",702905,698961,698961,0,3944,0
5001500US0632,0632,"Congressional District 32 (115th Congress), California",702905,702602,702602,0,303,0
5001500US0633,0633,"Congressional District 33 (115th Congress), California",702904,689308,689308,0,13596,0
5001500US0634,0634,"Congressional District 34 (115th Congress), California",702904,702904,702904,0,0,0
5001500US0635,0635,"Congressional District 35 (115th Congress), California",702905,701034,701034,0,1871,0
5001500US0636,0636,"Congressional District 36 (115th Congress), California",702905,645223,579477,65746,57682,0
5001500US0637,0637,"Congressional District 37 (115th Congress), California",702904,702904,702904,0,0,0
5001500US0638,0638,"Congressional District 38 (115th Congress), California",702905,702905,702905,0,0,0
5001500US0639,0639,"Congressional District 39 (115th Congress), California",702905,698748,698748,0,4157,0
5001500US0640,0640,"Congressional District 40 (115th Congress), California",702904,702904,702904,0,0,0
5001500US0641,0641,"Congressional District 41 (115th Congress), California",702904,693856,693856,0,9048,0
5001500US0642,0642,"Congressional District 42 (115th Congress), California",702906,668969,668969,0,33937,0
5001500US0643,0643,"Congressional District 43 (115th Congress), California",702904,702904,702904,0,0,0
5001500US0644,0644,"Congressional District 44 (115th Congress), California",702904,702904,702904,0,0,0
5001500US0645,0645,"Congressional District 45 (115th Congress), California",702906,699759,699759,0,3147,0
5001500US0646,0646,"Congressional District 46 (115th Congress), California",702906,702906,702906,0,0,0
5001500US0647,0647,"Congressional District 47 (115th Congress), California",702905,702461,698809,3652,444,0
5001500US0648,0648,"Congressional District 48 (115th Congress), California",702906,702713,702713,0,193,0
5001500US0649,0649,"Congressional District 49 (115th Congress), California",702906,692897,692897,0,10009,0
5001500US0650,0650,"Congressional District 50 (115th Congress), California",702905,628138,599725,28413,74767,0
5001500US0651,0651,"Congressional District 51 (115th Congress), California",702906,659736,624290,35446,43170,0
5001500US0652,0652,"Congressional District 52 (115th Congress), California",702904,699624,699624,0,3280,0
5001500US0653,0653,"Congressional District 53 (115th Congress), California",702904,700808,700808,0,2096,0
5001500US0801,0801,"Congressional District 1 (115th Congress), Colorado",718457,718457,718457,0,0,0
5001500US0802,0802,"Congressional District 2 (115th Congress), Colorado",718457,582221,517203,65018,136236,0
5001500US0803,0803,"Congressional District 3 (115th Congress), Colorado",718457,465187,264674,200513,253270,0
5001500US0804,0804,"Congressional District 4 (115th Congress), Colorado",718456,523724,383607,140117,194732,0
5001500US0805,0805,"Congressional District 5 (115th Congress), Colorado",718457,620999,559360,61639,97458,0
5001500US0806,0806,"Congressional District 6 (115th Congress), Colorado",718456,707768,707768,0,10688,0
5001500US0807,0807,"Congressional District 7 (115th Congress), Colorado",718456,714405,714402,3,4051,0
5001500US0901,0901,"Congressional District 1 (115th Congress), Connecticut",714820,671499,650514,20985,43321,0
5001500US0902,0902,"Congressional District 2 (115th Congress), Connecticut",714819,484414,417626,66788,230405,0
5001500US0903,0903,"Congressional District 3 (115th Congress), Connecticut",714819,691245,691245,0,23574,0
5001500US0904,0904,"Congressional District 4 (115th Congress), Connecticut",714819,684527,684527,0,30292,0
5001500US0905,0905,"Congressional District 5 (115th Congress), Connecticut",714820,613257,588068,25189,101563,0
5001500US09ZZ,09ZZ,"Congressional Districts not defined (115th Congress), Connecticut",0,0,0,0,0,0
5001500US1000,1000,"Congressional District (at Large) (115th Congress), Delaware",897934,747949,616982,130967,149985,0
5001500US1198,1198,"Delegate District (at Large) (115th Congress), District of Columbia",601723,601723,601723,0,0,0
5001500US1201,1201,"Congressional District 1 (115th Congress), Florida",696345,571751,526225,45526,124594,0
5001500US1202,1202,"Congressional District 2 (115th Congress), Florida",696345,357498,259055,98443,338847,0
5001500US1203,1203,"Congressional District 3 (115th Congress), Florida",696345,496278,438519,57759,200067,0
5001500US1204,1204,"Congressional District 4 (115th Congress), Florida",696345,608608,563970,44638,87737,0
5001500US1205,1205,"Congressional District 5 (115th Congress), Florida",696345,580527,533921,46606,115818,0
5001500US1206,1206,"Congressional District 6 (115th Congress), Florida",696345,599917,599917,0,96428,0
5001500US1207,1207,"Congressional District 7 (115th Congress), Florida",696345,681537,681537,0,14808,0
5001500US1208,1208,"Congressional District 8 (115th Congress), Florida",696344,655347,645548,9799,40997,0
5001500US1209,1209,"Congressional District 9 (115th Congress), Florida",696344,626035,558237,67798,70309,0
5001500US1210,1210,"Congressional District 10 (115th Congress), Florida",696345,687081,685590,1491,9264,0
5001500US1211,1211,"Congressional District 11 (115th Congress), Florida",696344,523562,483573,39989,172782,0
5001500US1212,1212,"Congressional District 12 (115th Congress), Florida",696345,648198,648182,16,48147,0
5001500US1213,1213,"Congressional District 13 (115th Congress), Florida",696345,696249,696249,0,96,0
5001500US1214,1214,"Congressional District 14 (115th Congress), Florida",696345,691479,691479,0,4866,0
5001500US1215,1215,"Congressional District 15 (115th Congress), Florida",696345,641045,617773,23272,55300,0
